parent,standard_name,old_rxcui,old_resolved,new_rxcui (current),new_resolved / reason,action
l_glutamic_acid,L-Glutamic Acid,4851,,25916,glutamic acid,replace
l_glutamine,L-Glutamine,4850,glucose,4885,glutamine,replace
l_histidine,L-Histidine,5324,,5340,histidine,replace
l_isoleucine,L-Isoleucine,6003,,6033,isoleucine,replace
l_leucine,L-Leucine,6179,,6308,leucine,replace
l_lysine,L-Lysine,6386,,(null),RxNorm resolves 'L-Lysine' only to a salt-specific PIN (1314248 (lysine monohydrate)); left null to avoid over-specific ID on a broad parent (2026-06-06),null
l_ornithine,L-Ornithine,7834,,314709,"ornithine, (L)-isomer",replace
l_proline,L-Proline,6918,metoprolol,8737,proline,replace
l_serine,L-Serine,10142,,9671,serine,replace
l_threonine,L-Threonine,6991,,10524,threonine,replace
l_tryptophan,L-Tryptophan,7057,,10898,tryptophan,replace
l_tyrosine,L-Tyrosine,7231,,10962,tyrosine,replace
l_valine,L-Valine,7279,,11115,valine,replace
lycopene,Lycopene,1116065,,29008,lycopene,replace
magnesium,Magnesium,1312,,6574,magnesium,replace
manganese,Manganese,23003,,6623,manganese,replace
milk_thistle,Milk Thistle,11188,,259274,milk thistle seed extract,replace
molybdenum,Molybdenum,6676,meclizine,7024,molybdenum,replace
msm,MSM (Methylsulfonylmethane),60163,,23247,methylsulfonylmethane,replace
nac,N-Acetyl Cysteine,3821,,197,acetylcysteine,replace
octacosanol,Octacosanol,6810,,12166,1-octacosanol,replace
omega_3,Omega-3 Fatty Acids,1004383,,4301,omega-3 fatty acids,replace
paba,PABA (Para-Aminobenzoic Acid),7073,,74,4-aminobenzoic acid,replace
phosphatidylserine,Phosphatidylserine,8651,,89959,phosphatidylserine,replace
policosanol,Policosanol,7508,norepinephrine bitartrate,69440,policosanol,replace
potassium,Potassium,8229,,8588,potassium,replace
pqq,PQQ (Pyrroloquinoline Quinone),1116067,,(null),prior 1116067 unverifiable via RxNorm (no concept name); cleared pending verification,null
pregnenolone,Pregnenolone,8588,potassium,114052,pregnenolone,replace
psyllium,Psyllium,8640,prednisone,8928,psyllium,replace
same,SAMe (S-Adenosyl-L-Methionine),7841,,9504,S-adenosylmethionine,replace
saw_palmetto,Saw Palmetto,11187,,236344,saw palmetto extract,replace
selenium,Selenium,9010,pyrimethamine,(null),prior 9010 mapped to pyrimethamine (incorrect); no clean elemental-selenium RxNorm ingredient,null
sulforaphane,Sulforaphane,1116060,,(null),prior 1116060 unverifiable via RxNorm (no concept name); cleared pending verification,null
superoxide_dismutase,Superoxide Dismutase (SOD),9822,,10245,superoxide dismutase,replace
taurine,Taurine,10335,,10337,taurine,replace
tmg_betaine,TMG (Trimethylglycine),35301,,1512,betaine,replace
turmeric,Turmeric,11178,,1114883,turmeric extract,replace
vanadyl_sulfate,Vanadyl Sulfate,11253,vitamin D,39364,vanadyl sulfate,replace
vitamin_a,Vitamin A,11149,vasopressin (USP),11246,vitamin A,replace
vitamin_b12_cobalamin,Vitamin B12,2626,clozapine,11248,vitamin B12,replace
vitamin_b1_thiamine,Vitamin B1 (Thiamine),10405,,10454,thiamine,replace
vitamin_b2_riboflavin,Vitamin B2 (Riboflavin),9220,,9346,riboflavin,replace
vitamin_b3_niacin,Vitamin B3 (Niacin),7393,niacin,7393,7393,replace
vitamin_b5_pantothenic,Vitamin B5 (Pantothenic Acid),7953,,7891,pantothenic acid,replace
vitamin_b6_pyridoxine,Vitamin B6 (Pyridoxine),8807,,(null),RxNorm resolves 'Vitamin B6 (Pyridoxine)' only to a salt-specific PIN (203164 (pyridoxine hydrochloride)); left null to avoid over-specific ID on a broad parent (2026-06-06),null
vitamin_b7_biotin,Vitamin B7 (Biotin),1596,bisacodyl,1588,biotin,replace
vitamin_d,Vitamin D,11148,,11253,vitamin D,replace
vitamin_e,Vitamin E,11150,,11256,vitamin E,replace
vitamin_k,Vitamin K,11151,,11258,vitamin K,replace
vitamin_k1,Vitamin K1,11256,vitamin E,8308,vitamin K1,replace
zinc,Zinc,2078,,11416,zinc,replace
